Linux 6.8.0-60-generic (masterserver) 	21/06/25 	_x86_64_	(16 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:54:43        0       590    0,00    0,00    0,00    0,00    0,00     7  multipathd
03:54:43        0       598    0,00    0,00    0,00    0,00    0,00    14  systemd-udevd
03:54:43        0       604    0,00    0,00    0,00    0,00    0,00    12  kworker/12:2-events
03:54:43        0       609    0,00    0,00    0,00    0,00    0,00    13  psimon
03:54:43        0       774    0,00    0,00    0,00    0,00    0,00     7  kworker/R-led_w
03:54:43        0       808    0,00    0,00    0,00    0,00    0,00    14  jbd2/nvme0n1p2-8
03:54:43        0       809    0,00    0,00    0,00    0,00    0,00     5  kworker/R-ext4-
03:54:43        0       838    0,00    0,00    0,00    0,00    0,00    12  nv_queue
03:54:43        0       839    0,00    0,00    0,00    0,00    0,00    12  nv_queue
03:54:43        0       840    0,00    0,00    0,00    0,00    0,00    12  nv_open_q
03:54:43        0       843    0,00    0,00    0,00    0,00    0,00     7  nvidia-modeset/kthread_q
03:54:43        0       844    0,00    0,00    0,00    0,00    0,00     7  nvidia-modeset/deferred_close_kthread_q
03:54:43        0       863    0,00    0,00    0,00    0,00    0,00     5  jbd2/sda1-8
03:54:43        0       864    0,00    0,00    0,00    0,00    0,00     6  kworker/R-ext4-
03:54:43      102      1003    0,00    0,00    0,00    0,00    0,00     2  systemd-resolve
03:54:43      104      1004    0,00    0,00    0,00    0,00    0,00     9  systemd-timesyn
03:54:43        0      1005    0,00    0,00    0,00    0,00    0,00     3  auditd
03:54:43      101      1038    0,00    0,00    0,00    0,00    0,00     4  systemd-network
03:54:43        0      1042    0,00    0,00    0,00    0,00    0,00     0  kworker/R-cfg80
03:54:43      115      1062    0,00    0,00    0,00    0,00    0,00     5  avahi-daemon
03:54:43        0      1065    0,00    0,00    0,00    0,00    0,00     2  cron
03:54:43      103      1066    0,00    0,00    0,00    0,00    0,00     2  dbus-daemon
03:54:43        0      1071    0,00    0,00    0,00    0,00    0,00     2  fail2ban-server
03:54:43        0      1078    0,00    0,00    0,00    0,00    0,00     2  irqbalance
03:54:43        0      1095    0,00    0,00    0,00    0,00    0,00     1  networkd-dispat
03:54:43      998      1103    0,00    0,00    0,00    0,00    0,00     5  ollama
03:54:43        0      1113    0,00    0,00    0,00    0,00    0,00     4  nvidia-persiste
03:54:43        0      1119    0,00    0,00    0,00    0,00    0,00     7  irq/117-nvidia
03:54:43        0      1120    0,00    0,00    0,00    0,00    0,00     3  nvidia
03:54:43        0      1121    0,00    0,00    0,00    0,00    0,00     3  nv_queue
03:54:43        0      1124    0,00    0,00    0,00    0,00    0,00    14  systemd-logind
03:54:43      115      1197    0,00    0,00    0,00    0,00    0,00    15  avahi-daemon
03:54:43      107      1225    0,00    0,00    0,00    0,00    0,00     4  rsyslogd
03:54:43        0      1235    0,00    0,00    0,00    0,00    0,00    12  kworker/R-wg-cr
03:54:43        0      1260    0,99    0,00    0,00    0,00    0,99     6  tuned
03:54:43        0      1262    0,00    0,00    0,00    0,00    0,00    12  unattended-upgr
03:54:43        0      1269    0,00    0,00    0,00    0,00    0,00    11  containerd
03:54:43      117      1299    0,00    0,00    0,00    0,00    0,00     6  tor
03:54:43        0      1345    0,00    0,00    0,00    0,00    0,00     7  agetty
03:54:43      117      1362    0,00    0,00    0,00    0,00    0,00     1  obfs4proxy
03:54:43        0      1400    0,00    0,00    0,00    0,00    0,00    11  dockerd
03:54:43      997      1472    0,00    0,00    0,00    0,00    0,00     5  polkitd
03:54:43        0      1499    0,00    0,00    0,00    0,00    0,00     3  UVM global queue
03:54:43        0      1500    0,00    0,00    0,00    0,00    0,00     3  UVM deferred release queue
03:54:43        0      1501    0,00    0,00    0,00    0,00    0,00    11  UVM Tools Event Queue
03:54:43        0      1526    0,00    0,00    0,00    0,00    0,00     8  vidmem lazy free
03:54:43        0      1527    0,00    0,00    0,00    0,00    0,00     1  UVM GPU1 BH
03:54:43        0      1528    0,00    0,00    0,00    0,00    0,00     9  UVM GPU1 KC
03:54:43        0      1866    0,00    0,00    0,00    0,00    0,00     7  containerd-shim
03:54:43        0      1867    0,00    0,00    0,00    0,00    0,00     7  containerd-shim
03:54:43        0      1909    0,00    0,00    0,00    0,00    0,00     4  python
03:54:43        0      1918    0,00    0,00    0,00    0,00    0,00     9  portainer
